"State","totalScore","culturalDiversity","economicDiversity","religiousDiversity","politicalDiversity","Pop"
"California","70.8900","1","11","32","6","39664128"
"Texas","70","4","13","6","28","30097526"
"Hawaii","69.6900","3","4","34","11","1401709"
"New Jersey","69.3800","7","39","19","12","8870685"
"New York","69.2100","8","37","21","2","19223191"
"New Mexico","69.1300","5","5","22","22","2109093"
"Maryland","68.6400","10","26","30","9","6075314"
"Florida","68.1800","6","34","38","3","22177997"
"Nevada","68","2","44","45","32","3238601"
"Illinois","67.9300","12","38","7","4","12518071"
"Arizona","67.8100","9","25","41","21","7640796"
"Virginia","67.7100","14","16","25","16","8638218"
"Georgia","67.4500","13","18","16","26","10936299"
"Connecticut","67.0800","15","45","27","9","3546588"
"Alaska","66.4900","11","1","44","47","720763"
"Delaware","66.4600","17","40","35","1","998619"
"Colorado","66.2500","18","28","40","13","5961083"
"Washington","66.0200","16","12","43","15","7887965"
"Massachusetts","65.8800","19","50","33","39","6922107"
"North Carolina","65.8200","20","29","26","24","10807491"
"Rhode Island","65.6700","21","49","36","5","1062583"
"Oklahoma","65.4600","22","6","18","37","4007179"
"Louisiana","65.2500","25","14","3","46","4616106"
"South Carolina","65.2000","23","20","14","38","5342388"
"Kansas","64.9200","27","24","11","8","2919179"
"Nebraska","64.2400","33","22","4","19","1960790"
"Alabama","64.0400","28","17","12","43","4949697"
"Minnesota","63.9500","36","43","5","20","5739781"
"Mississippi","63.9300","26","10","14","49","2961536"
"Pennsylvania","63.8700","32","48","10","17","12805190"
"Oregon","63.8100","24","21","48","28","4325290"
"Tennessee","63.7300","31","23","20","41","7001803"
"Arkansas","63.4300","29","15","24","35","3042017"
"Idaho","63.1500","35","8","13","47","1896652"
"South Dakota","63.1300","42","9","2","34","902542"
"Michigan","62.8400","34","47","31","7","9995212"
"North Dakota","62.8400","44","7","1","23","774008"
"Missouri","62.8300","39","35","17","24","6184843"
"Wisconsin","62.7400","40","41","9","31","5867518"
"Indiana","62.5700","37","46","29","13","6842385"
"Wyoming","62.4900","38","2","37","42","582233"
"Ohio","62.1400","41","42","28","28","11727377"
"Utah","61.9100","30","30","49","50","3363182"
"Iowa","61.8800","46","31","8","35","3174426"
"Kentucky","61.5400","45","27","23","18","4487233"
"Montana","60.9500","43","3","39","45","1093117"
"New Hampshire","60.7800","47","36","46","26","1378449"
"Vermont","59.7800","48","33","47","40","622882"
"Maine","58.4000","49","32","50","33","1359677"
"West Virginia","58.2900","50","19","42","44","1755715"