"State","giniCoefficient"
"Alaska","41.7400"
"Utah","43"
"Wyoming","43"
"New Hampshire","43.4400"
"Hawaii","43.6900"
"Iowa","44"
"South Dakota","44"
"Vermont","44"
"Wisconsin","44"
"Nebraska","44.2000"
"Idaho","44.5700"
"Minnesota","44.9000"
"Indiana","44.9400"
"Delaware","45"
"Maine","45"
"Nevada","45"
"Maryland","45.1300"
"Kansas","45.5500"
"Washington","45.6000"
"Montana","45.8700"
"Colorado","45.9000"
"Michigan","46"
"North Dakota","46"
"Oregon","46"
"West Virginia","46.2100"
"Missouri","46.3200"
"Ohio","46.4100"
"Oklahoma","46.5200"
"Virginia","46.7300"
"Pennsylvania","46.8000"
"Arizona","46.8200"
"South Carolina","46.9000"
"Arkansas","47"
"Rhode Island","47.3800"
"Kentucky","47.4100"
"North Carolina","47.4800"
"Alabama","47.6900"
"New Jersey","47.8200"
"Tennessee","47.8600"
"Illinois","48"
"Mississippi","48"
"New Mexico","48"
"Texas","48.0300"
"Georgia","48.1600"
"Massachusetts","48.2600"
"California","49"
"Connecticut","49"
"Florida","49"
"Louisiana","49.0300"
"New York","51.0200"